CaptureTime;HeadsetPos;HeadsetRotation;CombinedGazeForward;FocusDistance;FocusStability;CalcXEccentricity;CalcYEccentricity;LeftForward;RightForward;LeftPosition;RightPosition
1685570619721;(-0.527451, 0.791829, -0.471393);(-0.067021, 0.201869, 0.111063);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685570619821;(-0.527451, 0.791829, -0.471393);(-0.067021, 0.201869, 0.111063);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685570619921;(-0.527451, 0.791829, -0.471393);(-0.067021, 0.201869, 0.111063);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685570620021;(-0.527451, 0.791829, -0.471393);(-0.067021, 0.201869, 0.111063);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685570620121;(-0.528280, 0.791315, -0.471051);(-0.063338, 0.201263, 0.111787);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685570620221;(-0.528280, 0.791315, -0.471051);(-0.063338, 0.201263, 0.111787);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685570620321;(-0.531363, 0.787006, -0.470641);(-0.057430, 0.204574, 0.107070);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685570620421;(-0.531363, 0.787006, -0.470641);(-0.057430, 0.204574, 0.107070);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685570620521;(-0.531291, 0.784841, -0.471267);(-0.051179, 0.205504, 0.115011);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685570620621;(-0.531291, 0.784841, -0.471267);(-0.051179, 0.205504, 0.115011);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685570620721;(-0.534200, 0.781755, -0.470474);(-0.045072, 0.194920, 0.112794);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685570620821;(-0.534200, 0.781755, -0.470474);(-0.045072, 0.194920, 0.112794);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685570620921;(-0.535656, 0.780218, -0.469575);(-0.041557, 0.185224, 0.116268);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685570621021;(-0.535656, 0.780218, -0.469575);(-0.041557, 0.185224, 0.116268);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685570621121;(-0.537495, 0.778915, -0.468158);(-0.034582, 0.175766, 0.123314);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685570621221;(-0.537495, 0.778915, -0.468158);(-0.034582, 0.175766, 0.123314);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685570621321;(-0.540667, 0.779529, -0.467228);(-0.039442, 0.161488, 0.125524);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685570621421;(-0.540667, 0.779529, -0.467228);(-0.039442, 0.161488, 0.125524);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685570621521;(-0.541870, 0.779681, -0.467110);(-0.038466, 0.158913, 0.130949);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685570621621;(-0.541870, 0.779681, -0.467110);(-0.038466, 0.158913, 0.130949);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685570621721;(-0.543097, 0.779987, -0.466195);(-0.038196, 0.153478, 0.135536);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685570621821;(-0.543097, 0.779987, -0.466195);(-0.038196, 0.153478, 0.135536);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685570621921;(-0.547627, 0.777707, -0.463529);(-0.030090, 0.113617, 0.109339);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685570622022;(-0.547627, 0.777707, -0.463529);(-0.030090, 0.113617, 0.109339);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685570622122;(-0.547627, 0.777707, -0.463529);(-0.030090, 0.113617, 0.109339);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685570622222;(-0.549176, 0.776757, -0.461541);(-0.048479, 0.132233, 0.098892);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685570622322;(-0.549176, 0.776757, -0.461541);(-0.048479, 0.132233, 0.098892);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685570622422;(-0.547869, 0.777960, -0.462362);(-0.057968, 0.137698, 0.103497);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685570622522;(-0.547869, 0.777960, -0.462362);(-0.057968, 0.137698, 0.103497);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685570622622;(-0.545077, 0.782222, -0.463932);(-0.071396, 0.144056, 0.117997);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685570622722;(-0.545077, 0.782222, -0.463932);(-0.071396, 0.144056, 0.117997);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
