CaptureTime;HeadsetPos;HeadsetRotation;CombinedGazeForward;FocusDistance;FocusStability;CalcXEccentricity;CalcYEccentricity;LeftForward;RightForward;LeftPosition;RightPosition
1685575705002;(-0.138198, 0.802467, 0.095837);(-0.102066, -0.286083, 0.002069);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685575705102;(-0.138198, 0.802467, 0.095837);(-0.102066, -0.286083, 0.002069);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685575705202;(-0.138198, 0.802467, 0.095837);(-0.102066, -0.286083, 0.002069);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685575705302;(-0.138198, 0.802467, 0.095837);(-0.102066, -0.286083, 0.002069);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685575705402;(-0.138198, 0.802467, 0.095837);(-0.102066, -0.286083, 0.002069);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685575705502;(-0.138077, 0.802486, 0.095785);(-0.102175, -0.286066, 0.002089);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685575705602;(-0.138018, 0.802492, 0.095769);(-0.101824, -0.286109, 0.002006);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685575705702;(-0.138137, 0.802594, 0.095810);(-0.101805, -0.285960, 0.002068);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685575705802;(-0.138235, 0.802783, 0.095807);(-0.101443, -0.286002, 0.002019);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685575705902;(-0.138087, 0.802663, 0.095876);(-0.101441, -0.285916, 0.001832);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685575706002;(-0.138089, 0.802527, 0.095866);(-0.101412, -0.286052, 0.002002);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685575706102;(-0.138094, 0.802762, 0.095857);(-0.101084, -0.286115, 0.001900);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685575706202;(-0.137996, 0.802694, 0.095858);(-0.101945, -0.285837, 0.002090);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685575706302;(-0.138147, 0.802741, 0.095960);(-0.101461, -0.286038, 0.001974);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685575706402;(-0.138076, 0.802834, 0.095947);(-0.101250, -0.285929, 0.001709);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685575706503;(-0.138095, 0.802884, 0.095971);(-0.101127, -0.285886, 0.001972);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685575706603;(-0.138164, 0.802877, 0.095980);(-0.101251, -0.286266, 0.001981);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685575706703;(-0.138110, 0.802771, 0.095983);(-0.101929, -0.286041, 0.002005);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685575706803;(-0.138072, 0.802855, 0.096015);(-0.101838, -0.286062, 0.002078);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685575706903;(-0.138094, 0.802840, 0.095986);(-0.101568, -0.285964, 0.002018);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685575707003;(-0.137966, 0.802673, 0.095900);(-0.102152, -0.285922, 0.001884);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685575707103;(-0.138047, 0.802660, 0.095987);(-0.101916, -0.286005, 0.001878);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685575707203;(-0.138117, 0.802727, 0.095950);(-0.101819, -0.286056, 0.002058);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685575707303;(-0.138178, 0.802689, 0.095889);(-0.102258, -0.286302, 0.002046);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685575707403;(-0.138059, 0.802548, 0.095849);(-0.101901, -0.286236, 0.001896);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685575707503;(-0.138097, 0.802561, 0.095879);(-0.102374, -0.285963, 0.001933);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685575707603;(-0.138086, 0.802526, 0.095910);(-0.102218, -0.286237, 0.002077);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685575707703;(-0.138060, 0.802622, 0.095875);(-0.102298, -0.286027, 0.001976);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685575707803;(-0.138051, 0.802575, 0.095861);(-0.102566, -0.286158, 0.002105);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685575707903;(-0.138127, 0.802726, 0.095885);(-0.102184, -0.286243, 0.002052);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685575708003;(-0.138177, 0.802629, 0.095912);(-0.102370, -0.286332, 0.002169);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685575708103;(-0.138097, 0.802719, 0.095853);(-0.102184, -0.286134, 0.002038);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685575708203;(-0.138067, 0.802722, 0.095950);(-0.101891, -0.286126, 0.002075);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685575708303;(-0.138062, 0.802739, 0.095907);(-0.101919, -0.286198, 0.002038);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685575708403;(-0.138184, 0.802713, 0.095944);(-0.101869, -0.286278, 0.002203);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685575708503;(-0.138104, 0.802598, 0.095889);(-0.102230, -0.286090, 0.001981);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685575708603;(-0.137998, 0.802696, 0.095857);(-0.102307, -0.285980, 0.002036);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685575708703;(-0.138160, 0.802676, 0.095847);(-0.102398, -0.285875, 0.002030);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685575708803;(-0.138113, 0.802588, 0.095890);(-0.102212, -0.285985, 0.002139);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685575708903;(-0.138092, 0.802583, 0.095891);(-0.102373, -0.286358, 0.001937);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685575709004;(-0.138027, 0.802726, 0.095876);(-0.101848, -0.286061, 0.002039);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685575709104;(-0.138154, 0.802820, 0.095901);(-0.102276, -0.286151, 0.002144);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685575709204;(-0.138050, 0.802678, 0.095849);(-0.102312, -0.286022, 0.001991);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685575709304;(-0.138083, 0.802736, 0.095862);(-0.102053, -0.286145, 0.001976);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685575709404;(-0.138118, 0.802714, 0.095923);(-0.102287, -0.286069, 0.002156);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685575709504;(-0.138125, 0.802751, 0.095893);(-0.102374, -0.286149, 0.002200);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685575709604;(-0.138168, 0.802679, 0.095863);(-0.101810, -0.286157, 0.001889);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685575709704;(-0.138282, 0.802638, 0.095914);(-0.101904, -0.286102, 0.002301);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685575709804;(-0.138037, 0.802514, 0.095855);(-0.102291, -0.285944, 0.002103);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685575709904;(-0.138079, 0.802633, 0.095892);(-0.102174, -0.286164, 0.001914);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685575710004;(-0.138076, 0.802441, 0.095816);(-0.102608, -0.286120, 0.002053);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685575710104;(-0.138135, 0.802571, 0.095826);(-0.102531, -0.286039, 0.002115);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685575710204;(-0.137992, 0.802562, 0.095785);(-0.101998, -0.285943, 0.001740);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685575710304;(-0.138159, 0.802482, 0.095863);(-0.102425, -0.286043, 0.001947);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685575710404;(-0.138129, 0.802312, 0.095878);(-0.102416, -0.286223, 0.001996);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685575710504;(-0.138218, 0.802433, 0.095819);(-0.102336, -0.286077, 0.001896);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
