CaptureTime;HeadsetPos;HeadsetRotation;CombinedGazeForward;FocusDistance;FocusStability;CalcXEccentricity;CalcYEccentricity;LeftForward;RightForward;LeftPosition;RightPosition
1685563661681;(-0.134379, 0.895478, -0.354713);(0.078308, 0.693778, -0.060532);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685563661881;(-0.134379, 0.895478, -0.354713);(0.078308, 0.693778, -0.060532);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685563661981;(-0.134379, 0.895478, -0.354713);(0.078308, 0.693778, -0.060532);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685563662081;(-0.134379, 0.895478, -0.354713);(0.078308, 0.693778, -0.060532);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685563662181;(-0.134985, 0.892668, -0.357850);(0.094930, 0.702431, -0.074989);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685563662281;(-0.134985, 0.892668, -0.357850);(0.094930, 0.702431, -0.074989);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685563662381;(-0.129046, 0.893679, -0.350039);(0.101659, 0.631417, -0.064781);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685563662481;(-0.129046, 0.893679, -0.350039);(0.101659, 0.631417, -0.064781);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685563662581;(-0.126535, 0.894754, -0.345019);(0.087565, 0.608943, -0.058073);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685563662681;(-0.126535, 0.894754, -0.345019);(0.087565, 0.608943, -0.058073);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685563662781;(-0.130899, 0.893174, -0.348227);(0.083927, 0.658345, -0.066819);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1685563662881;(-0.130899, 0.893174, -0.348227);(0.083927, 0.658345, -0.066819);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
