posX	posY	posZ	velX	velY	velZ	velN	velE	velD	rotation
0	0	0	0	0	0	0	0	0	(0.00, 0.00, 0.00)
0	0	0	0	0	0	0	0	0	(0.00, 0.00, 0.00)
0.01648297	0.01129717	-0.005068112	0	0	0	0.001708386	-0.0005067537	0.0007559307	(0.00, 0.01, -0.04)
0.01648297	0.01129717	-0.005068112	0	0	0	0.001708386	-0.0005067537	0.0007559307	(0.00, 0.01, -0.04)
0.01648297	0.01129717	-0.005068112	0	0	0	0.001708386	-0.0005067537	0.0007559307	(0.00, 0.01, -0.04)
0.01648297	0.01129717	-0.005068112	0	0	0	0.001708386	-0.0005067537	0.0007559307	(0.00, 0.01, -0.04)
0.0164832	0.01129626	-0.005069384	0	0	0	0.001818084	-0.0006589174	0.0003594823	(0.00, 0.01, -0.04)
0.0164832	0.01129626	-0.005069384	0	0	0	0.001818084	-0.0006589174	0.0003594823	(0.00, 0.01, -0.04)
0.0164832	0.01129626	-0.005069384	0	0	0	0.001818084	-0.0006589174	0.0003594823	(0.00, 0.01, -0.04)
0.0164832	0.01129626	-0.005069384	0	0	0	0.001818084	-0.0006589174	0.0003594823	(0.00, 0.01, -0.04)
0.0164832	0.01129626	-0.005069384	0	0	0	0.001818084	-0.0006589174	0.0003594823	(0.00, 0.01, -0.04)
0.0164832	0.01129626	-0.005069384	0	0	0	0.001818084	-0.0006589174	0.0003594823	(0.00, 0.01, -0.04)
0.0164832	0.01129626	-0.005069384	0	0	0	0.001818084	-0.0006589174	0.0003594823	(0.00, 0.01, -0.04)
0.0164832	0.01129626	-0.005069384	0	0	0	0.001818084	-0.0006589174	0.0003594823	(0.00, 0.01, -0.04)
0.0164832	0.01129626	-0.005069384	0	0	0	0.001818084	-0.0006589174	0.0003594823	(0.00, 0.01, -0.04)
0.0164832	0.01129626	-0.005069384	0	0	0	0.001555421	-0.0008318827	0.0007017218	(0.00, 0.01, -0.04)
0.0164832	0.01129626	-0.005069384	0	0	0	0.001555421	-0.0008318827	0.0007017218	(0.00, 0.01, -0.04)
0.0164832	0.01129626	-0.005069384	0	0	0	0.001555421	-0.0008318827	0.0007017218	(0.00, 0.01, -0.04)
