posX	posY	posZ	velX	velY	velZ	velN	velE	velD	rotation
0	0	0	0	0	0	0	0	0	(0.00, 0.00, 0.00)
0	0	0	0	0	0	0	0	0	(0.00, 0.00, 0.00)
-0.01841402	-0.007825226	-0.004968873	0	0	0	-0.001551889	0.001269788	0.001031132	(-0.01, 0.00, 2.90)
-0.01841402	-0.007825226	-0.004968873	0	0	0	-0.001551889	0.001269788	0.001031132	(-0.01, 0.00, 2.90)
-0.01841402	-0.007825226	-0.004968873	0	0	0	-0.001551889	0.001269788	0.001031132	(-0.01, 0.00, 2.90)
-0.01841402	-0.007825226	-0.004968873	0	0	0	-0.001551889	0.001269788	0.001031132	(-0.01, 0.00, 2.90)
-0.01841402	-0.007825226	-0.004968873	0	0	0	-0.001551889	0.001269788	0.001031132	(-0.01, 0.00, 2.90)
-0.01841402	-0.007825226	-0.004968873	0	0	0	-0.001551889	0.001269788	0.001031132	(-0.01, 0.00, 2.90)
-0.0184143	-0.007824462	-0.004969053	0	0	0	-0.001478238	0.0008383674	0.001227022	(-0.01, 0.00, 2.90)
-0.0184143	-0.007824462	-0.004969053	0	0	0	-0.001478238	0.0008383674	0.001227022	(-0.01, 0.00, 2.90)
-0.0184143	-0.007824462	-0.004969053	0	0	0	-0.001478238	0.0008383674	0.001227022	(-0.01, 0.00, 2.90)
-0.0184143	-0.007824462	-0.004969053	0	0	0	-0.001478238	0.0008383674	0.001227022	(-0.01, 0.00, 2.90)
-0.0184143	-0.007824462	-0.004969053	0	0	0	-0.001478238	0.0008383674	0.001227022	(-0.01, 0.00, 2.90)
-0.0184143	-0.007824462	-0.004969053	0	0	0	-0.001478238	0.0008383674	0.001227022	(-0.01, 0.00, 2.90)
-0.0184143	-0.007824462	-0.004969053	0	0	0	-0.001478238	0.0008383674	0.001227022	(-0.01, 0.00, 2.90)
-0.0184143	-0.007824462	-0.004969053	0	0	0	-0.001478238	0.0008383674	0.001227022	(-0.01, 0.00, 2.90)
-0.0184143	-0.007824462	-0.004969053	0	0	0	-0.001478238	0.0008383674	0.001227022	(-0.01, 0.00, 2.90)
-0.0184143	-0.007824462	-0.004969053	0	0	0	-0.001166239	0.001282419	0.001456983	(-0.01, 0.00, 2.90)
