posX	posY	posZ	velX	velY	velZ	velN	velE	velD	rotation
0	0	0	0	0	0	0	0	0	(0.00, 0.00, 0.00)
0	0	0	0	0	0	0	0	0	(0.00, 0.00, 0.00)
0.01574256	0.01227631	-0.005144334	0	0	0	0.0001889367	-0.0001764364	-0.0006760457	(0.00, 0.01, 0.02)
0.01574256	0.01227631	-0.005144334	0	0	0	0.0001889367	-0.0001764364	-0.0006760457	(0.00, 0.01, 0.02)
0.01574256	0.01227631	-0.005144334	0	0	0	0.0001889367	-0.0001764364	-0.0006760457	(0.00, 0.01, 0.02)
0.01574256	0.01227631	-0.005144334	0	0	0	0.0001889367	-0.0001764364	-0.0006760457	(0.00, 0.01, 0.02)
0.01574256	0.01227631	-0.005144334	0	0	0	0.0004458724	-9.0466E-05	-0.0005882044	(0.00, 0.01, 0.02)
0.01574256	0.01227631	-0.005144334	0	0	0	0.0004458724	-9.0466E-05	-0.0005882044	(0.00, 0.01, 0.02)
0.01574256	0.01227631	-0.005144334	0	0	0	0.0004458724	-9.0466E-05	-0.0005882044	(0.00, 0.01, 0.02)
0.01574256	0.01227631	-0.005144334	0	0	0	0.0004458724	-9.0466E-05	-0.0005882044	(0.00, 0.01, 0.02)
0.01574256	0.01227631	-0.005144334	0	0	0	0.0004458724	-9.0466E-05	-0.0005882044	(0.00, 0.01, 0.02)
0.01574256	0.01227631	-0.005144334	0	0	0	0.0004458724	-9.0466E-05	-0.0005882044	(0.00, 0.01, 0.02)
0.01574256	0.01227631	-0.005144334	0	0	0	0.0004458724	-9.0466E-05	-0.0005882044	(0.00, 0.01, 0.02)
0.01574256	0.01227631	-0.005144334	0	0	0	0.0004458724	-9.0466E-05	-0.0005882044	(0.00, 0.01, 0.02)
0.01574256	0.01227631	-0.005144334	0	0	0	0.0004458724	-9.0466E-05	-0.0005882044	(0.00, 0.01, 0.02)
0.01574248	0.01227661	-0.005143868	0	0	0	7.379708E-05	0.0001336312	-0.0003949715	(0.00, 0.01, 0.02)
0.01574248	0.01227661	-0.005143868	0	0	0	7.379708E-05	0.0001336312	-0.0003949715	(0.00, 0.01, 0.02)
0.01574248	0.01227661	-0.005143868	0	0	0	7.379708E-05	0.0001336312	-0.0003949715	(0.00, 0.01, 0.02)
