CaptureTime;HeadsetPos;HeadsetRotation;CombinedGazeForward;FocusDistance;FocusStability;CalcXEccentricity;CalcYEccentricity;LeftForward;RightForward;LeftPosition;RightPosition
1684792623350;(0.123030, 1.127498, -0.556469);(0.561573, 1.417103, 0.235061);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684792623450;(0.123030, 1.127498, -0.556469);(0.561573, 1.417103, 0.235061);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684792623550;(0.123030, 1.127498, -0.556469);(0.561573, 1.417103, 0.235061);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684792623650;(0.123030, 1.127498, -0.556469);(0.561573, 1.417103, 0.235061);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684792623750;(0.123030, 1.127498, -0.556469);(0.561573, 1.417103, 0.235061);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684792623850;(0.122943, 1.127418, -0.556511);(0.561750, 1.418512, 0.236165);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684792623950;(0.120491, 1.132652, -0.554857);(0.541293, 1.429897, 0.244933);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684792624051;(0.117447, 1.159050, -0.553519);(0.468719, 1.448266, 0.245565);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684792624151;(0.112722, 1.213832, -0.563036);(0.308848, 1.470985, 0.231842);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684792624251;(0.104656, 1.280523, -0.591222);(0.141063, 1.534182, 0.185438);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684792624351;(0.112242, 1.340919, -0.638821);(0.011498, 1.611336, 0.107113);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684792624451;(0.164493, 1.393436, -0.701736);(-0.094718, 1.658293, 0.059500);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684792624551;(0.266014, 1.442860, -0.777640);(-0.170358, 1.729040, 0.010739);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684792624651;(0.398386, 1.491277, -0.861716);(-0.216682, 1.841391, -0.032217);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684792624751;(0.530853, 1.536896, -0.939477);(-0.216459, 1.893200, -0.144698);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684792624851;(0.659198, 1.572031, -0.996843);(-0.189882, 1.896499, -0.197426);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684792624951;(0.784100, 1.589303, -1.032908);(-0.114539, 1.902408, -0.206840);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684792625051;(0.875015, 1.588804, -1.043083);(-0.043501, 1.901573, -0.199029);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684792625151;(0.941265, 1.580835, -1.038804);(0.010758, 1.872891, -0.224795);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684792625251;(0.984254, 1.570538, -1.024630);(0.046288, 1.834468, -0.248347);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
