CaptureTime;HeadsetPos;HeadsetRotation;CombinedGazeForward;FocusDistance;FocusStability;CalcXEccentricity;CalcYEccentricity;LeftForward;RightForward;LeftPosition;RightPosition
1684967181880;(0.132269, 0.975919, -0.324844);(0.283933, -0.532821, -0.227126);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684967181980;(0.132269, 0.975919, -0.324844);(0.283933, -0.532821, -0.227126);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684967182080;(0.132269, 0.975919, -0.324844);(0.283933, -0.532821, -0.227126);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684967182180;(0.132269, 0.975919, -0.324844);(0.283933, -0.532821, -0.227126);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684967182280;(0.132269, 0.975919, -0.324844);(0.283933, -0.532821, -0.227126);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684967182380;(0.132369, 0.975578, -0.325591);(0.287696, -0.537718, -0.226733);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684967182480;(0.133497, 0.974779, -0.325793);(0.293699, -0.539984, -0.225133);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684967182580;(0.134029, 0.974654, -0.324455);(0.291611, -0.532005, -0.223383);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684967182680;(0.134114, 0.975062, -0.322955);(0.288880, -0.528873, -0.224926);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684967182780;(0.134092, 0.975184, -0.322336);(0.289877, -0.536369, -0.224612);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684967182880;(0.134526, 0.975022, -0.320729);(0.292583, -0.540190, -0.220709);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684967182980;(0.136599, 0.974239, -0.318424);(0.292150, -0.533101, -0.216761);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684967183080;(0.138806, 0.973045, -0.314805);(0.303932, -0.522902, -0.202639);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684967183180;(0.140093, 0.969873, -0.310554);(0.315370, -0.514613, -0.174155);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684967183280;(0.139715, 0.968733, -0.307709);(0.311595, -0.518131, -0.172946);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684967183380;(0.139204, 0.969195, -0.307627);(0.301917, -0.525972, -0.183070);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684967183480;(0.139204, 0.969195, -0.307627);(0.298133, -0.540003, -0.193697);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684967183580;(0.135278, 0.973127, -0.311323);(0.300356, -0.541960, -0.200714);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684967183680;(0.135258, 0.974757, -0.315332);(0.297251, -0.541277, -0.201529);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684967183780;(0.137378, 0.974253, -0.321608);(0.299580, -0.542960, -0.198284);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684967183880;(0.140039, 0.972436, -0.331555);(0.296937, -0.542539, -0.198950);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684967183980;(0.141045, 0.969100, -0.343055);(0.295974, -0.537098, -0.198704);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684967184080;(0.139329, 0.965739, -0.356590);(0.290551, -0.531548, -0.200934);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684967184180;(0.135080, 0.963109, -0.375726);(0.283510, -0.523958, -0.201050);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684967184280;(0.132873, 0.966989, -0.401939);(0.276477, -0.517341, -0.202150);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684967184380;(0.135169, 0.967502, -0.434038);(0.275306, -0.512975, -0.202634);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684967184480;(0.141288, 0.960538, -0.467431);(0.280020, -0.514042, -0.198125);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684967184581;(0.152115, 0.954747, -0.492695);(0.276937, -0.503086, -0.200070);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684967184681;(0.160662, 0.948468, -0.507156);(0.275830, -0.488948, -0.195371);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684967184781;(0.157902, 0.946342, -0.513992);(0.257623, -0.483446, -0.197621);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684967184881;(0.149956, 0.952117, -0.514150);(0.248533, -0.483802, -0.200374);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684967184981;(0.143831, 0.954937, -0.510683);(0.252003, -0.473635, -0.195015);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684967185081;(0.141639, 0.954910, -0.507222);(0.169200, -0.406282, -0.168239);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684967185086;(0.141699, 0.954793, -0.507000);(0.169231, -0.407235, -0.167300);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684967185091;(0.141699, 0.954793, -0.507000);(0.169231, -0.407235, -0.167300);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684967185096;(0.141699, 0.954793, -0.507000);(0.169231, -0.407235, -0.167300);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684967185101;(0.141750, 0.954743, -0.506755);(0.169478, -0.407709, -0.166795);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684967185106;(0.141750, 0.954743, -0.506755);(0.169478, -0.407709, -0.166795);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684967185111;(0.141840, 0.954581, -0.506530);(0.169966, -0.407852, -0.166172);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684967185116;(0.141840, 0.954581, -0.506530);(0.169966, -0.407852, -0.166172);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684967185121;(0.141943, 0.954414, -0.506432);(0.170083, -0.407879, -0.165529);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684967185126;(0.141943, 0.954414, -0.506432);(0.170083, -0.407879, -0.165529);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684967185131;(0.142131, 0.954261, -0.506391);(0.170285, -0.407871, -0.164866);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684967185136;(0.142131, 0.954261, -0.506391);(0.170285, -0.407871, -0.164866);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684967185141;(0.142131, 0.954261, -0.506391);(0.170285, -0.407871, -0.164866);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684967185146;(0.142368, 0.954119, -0.506425);(0.171179, -0.407814, -0.163790);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684967185151;(0.142368, 0.954119, -0.506425);(0.171179, -0.407814, -0.163790);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684967185156;(0.142516, 0.953927, -0.506434);(0.171345, -0.407545, -0.162602);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684967185161;(0.142516, 0.953927, -0.506434);(0.171345, -0.407545, -0.162602);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684967185166;(0.142811, 0.953785, -0.506595);(0.171985, -0.406786, -0.160967);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684967185171;(0.142811, 0.953785, -0.506595);(0.171985, -0.406786, -0.160967);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684967185176;(0.143134, 0.953749, -0.506828);(0.172551, -0.405905, -0.159652);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684967185181;(0.143134, 0.953749, -0.506828);(0.172551, -0.405905, -0.159652);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684967185186;(0.143134, 0.953749, -0.506828);(0.172551, -0.405905, -0.159652);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684967185191;(0.143477, 0.953666, -0.507040);(0.173375, -0.405071, -0.158712);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684967185196;(0.143477, 0.953666, -0.507040);(0.173375, -0.405071, -0.158712);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684967185201;(0.143934, 0.953625, -0.507288);(0.174025, -0.404043, -0.157745);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684967185206;(0.143934, 0.953625, -0.507288);(0.174025, -0.404043, -0.157745);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684967185211;(0.144281, 0.953597, -0.507499);(0.174667, -0.403311, -0.157119);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
