CaptureTime;HeadsetPos;HeadsetRotation;CombinedGazeForward;FocusDistance;FocusStability;CalcXEccentricity;CalcYEccentricity;LeftForward;RightForward;LeftPosition;RightPosition
1684800352043;(2.816210, 1.328447, -4.137540);(0.031892, -0.459581, -0.044000);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684800352143;(2.816210, 1.328447, -4.137540);(0.031892, -0.459581, -0.044000);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684800352243;(2.816210, 1.328447, -4.137540);(0.031892, -0.459581, -0.044000);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684800352343;(2.816210, 1.328447, -4.137540);(0.031892, -0.459581, -0.044000);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684800352443;(2.816396, 1.328434, -4.137838);(0.031396, -0.459877, -0.043970);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684800352543;(2.808151, 1.333046, -4.120914);(0.033046, -0.462272, -0.045639);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684800352643;(2.801474, 1.336848, -4.106358);(0.037389, -0.463210, -0.050570);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684800352743;(2.805967, 1.336368, -4.109426);(0.033316, -0.461030, -0.053910);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684800352843;(2.811036, 1.336194, -4.113189);(0.021058, -0.455141, -0.056373);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684800352943;(2.820721, 1.333758, -4.125506);(0.008909, -0.446663, -0.058301);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684800353043;(2.824974, 1.331982, -4.125534);(0.015120, -0.437716, -0.065057);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684800353143;(2.832985, 1.327801, -4.139240);(0.019767, -0.435754, -0.067904);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684800353243;(2.820145, 1.332510, -4.115638);(0.029039, -0.438966, -0.067078);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684800353343;(2.826266, 1.329802, -4.123239);(0.028418, -0.442716, -0.065333);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684800353443;(2.824764, 1.330421, -4.124818);(0.025853, -0.437615, -0.067949);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684800353543;(2.839284, 1.324157, -4.149254);(0.019164, -0.437320, -0.068649);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684800353643;(2.835526, 1.325735, -4.143392);(0.019232, -0.443203, -0.069174);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684800353743;(2.815484, 1.334394, -4.111933);(0.024855, -0.446349, -0.069486);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684800353843;(2.821233, 1.331566, -4.127865);(0.019193, -0.451051, -0.067868);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684800353943;(2.825900, 1.329682, -4.136012);(0.015440, -0.448836, -0.065425);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684800354043;(2.825443, 1.329830, -4.133266);(0.016880, -0.450097, -0.066299);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684800354143;(2.811698, 1.336035, -4.107473);(0.019632, -0.448736, -0.069156);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684800354244;(2.808455, 1.336841, -4.104599);(0.022156, -0.449329, -0.070589);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684800354344;(2.804293, 1.337430, -4.102888);(0.025697, -0.453402, -0.069901);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684800354444;(2.808451, 1.334939, -4.111276);(0.025107, -0.459622, -0.067183);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684800354544;(2.798937, 1.338460, -4.095408);(0.028742, -0.468135, -0.063753);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684800354644;(2.803445, 1.336115, -4.109869);(0.024262, -0.472941, -0.059780);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
