CaptureTime;HeadsetPos;HeadsetRotation;CombinedGazeForward;FocusDistance;FocusStability;CalcXEccentricity;CalcYEccentricity;LeftForward;RightForward;LeftPosition;RightPosition
1684798249212;(0.000000, 0.000000, 0.000000);(1.267033, 1.974129, 2.510269);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684798249217;(0.000000, 0.000000, 0.000000);(1.267033, 1.974129, 2.510269);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684798249222;(0.000000, 0.000000, 0.000000);(1.267033, 1.974129, 2.510269);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684798249228;(0.000000, 0.000000, 0.000000);(1.267033, 1.974129, 2.510269);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684798249233;(0.000000, 0.000000, 0.000000);(1.267033, 1.974129, 2.510269);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684798249238;(0.000000, 0.000000, 0.000000);(1.267033, 1.974129, 2.510269);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684798249244;(0.000000, 0.000000, 0.000000);(1.267033, 1.974129, 2.510269);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684798249249;(0.000000, 0.000000, 0.000000);(1.267033, 1.974129, 2.510269);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684798249254;(0.000000, 0.000000, 0.000000);(1.267033, 1.974129, 2.510269);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684798249259;(0.000000, 0.000000, 0.000000);(1.267033, 1.974129, 2.510269);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684798249264;(0.000000, 0.000000, 0.000000);(1.267033, 1.974129, 2.510269);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684798249270;(0.000000, 0.000000, 0.000000);(1.267033, 1.974129, 2.510269);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684798249275;(0.000000, 0.000000, 0.000000);(1.267033, 1.974129, 2.510269);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684798249280;(0.000000, 0.000000, 0.000000);(1.267033, 1.974129, 2.510269);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684798249285;(0.000000, 0.000000, 0.000000);(1.267033, 1.974129, 2.510269);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684798249290;(0.000000, 0.000000, 0.000000);(1.267033, 1.974129, 2.510269);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
