CaptureTime;HeadsetPos;HeadsetRotation;CombinedGazeForward;FocusDistance;FocusStability;CalcXEccentricity;CalcYEccentricity;LeftForward;RightForward;LeftPosition;RightPosition
1684791349799;(0.837169, 1.170429, -0.687498);(-0.006164, -1.964021, -0.060411);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791349899;(0.837169, 1.170429, -0.687498);(-0.006164, -1.964021, -0.060411);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791349999;(0.837169, 1.170429, -0.687498);(-0.006164, -1.964021, -0.060411);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791350099;(0.837169, 1.170429, -0.687498);(-0.006164, -1.964021, -0.060411);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791350199;(0.837169, 1.170429, -0.687498);(-0.006164, -1.964021, -0.060411);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791350299;(0.837169, 1.170429, -0.687498);(-0.009256, -1.959119, -0.060737);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791350399;(0.837169, 1.170429, -0.687498);(-0.010859, -1.930874, -0.064463);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791350500;(0.837169, 1.170429, -0.687498);(-0.003517, -1.901115, -0.070378);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791350600;(0.837169, 1.170429, -0.687498);(0.012297, -1.868219, -0.070992);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791350700;(0.855574, 1.809174, -0.623878);(0.028295, -1.836880, -0.073394);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791350800;(0.835849, 1.806411, -0.614873);(0.031423, -1.842546, -0.070610);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791350900;(0.820217, 1.806025, -0.615568);(0.029806, -1.849537, -0.072285);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791351000;(0.798417, 1.807418, -0.620822);(0.029178, -1.847748, -0.073805);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791351100;(0.772684, 1.806446, -0.637766);(0.032857, -1.847781, -0.071623);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791351200;(0.743136, 1.804257, -0.665257);(0.032927, -1.851280, -0.070002);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791351300;(0.710368, 1.799289, -0.698371);(0.037104, -1.853562, -0.068755);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791351400;(0.675910, 1.796448, -0.738688);(0.037354, -1.855545, -0.067715);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791351500;(0.642160, 1.797020, -0.783097);(0.040590, -1.859008, -0.064918);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791351600;(0.613188, 1.804601, -0.826713);(0.043089, -1.859787, -0.066310);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791351700;(0.591986, 1.809335, -0.867354);(0.043783, -1.855591, -0.059763);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791351800;(0.580180, 1.811913, -0.896586);(0.046204, -1.866567, -0.056449);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791351900;(0.565549, 1.815087, -0.912839);(0.039865, -1.865405, -0.060225);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791352000;(0.544873, 1.816976, -0.920578);(0.047242, -1.860742, -0.054493);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791352100;(0.513963, 1.819793, -0.926732);(0.045920, -1.862502, -0.055261);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791352200;(0.472725, 1.817841, -0.936909);(0.046642, -1.858939, -0.031237);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791352300;(0.419751, 1.812219, -0.946571);(0.041297, -1.863921, -0.025819);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791352400;(0.360082, 1.802718, -0.949516);(0.059799, -1.887401, -0.029057);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791352500;(0.296245, 1.800333, -0.949832);(0.063941, -1.903644, -0.042777);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791352600;(0.237790, 1.800107, -0.947216);(0.088904, -1.901916, -0.056562);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791352700;(0.191046, 1.801565, -0.947252);(0.080733, -1.898605, -0.052823);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791352800;(0.152935, 1.806445, -0.951008);(0.080443, -1.910328, -0.058574);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791352901;(0.120814, 1.812109, -0.960383);(0.066402, -1.921657, -0.052850);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791353001;(0.087890, 1.814157, -0.975479);(0.058564, -1.932507, -0.047768);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791353101;(0.049826, 1.813381, -0.999327);(0.062226, -1.936853, -0.041321);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791353201;(0.006646, 1.808885, -1.032239);(0.066359, -1.939615, -0.031286);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791353301;(-0.036365, 1.802055, -1.069147);(0.085872, -1.931927, -0.021506);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791353401;(-0.074147, 1.803906, -1.107624);(0.091965, -1.913061, -0.013420);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791353501;(-0.102459, 1.810869, -1.141197);(0.086766, -1.895443, -0.005512);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791353601;(-0.123942, 1.811383, -1.168343);(0.075328, -1.875969, -0.004318);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791353701;(-0.138342, 1.815012, -1.186881);(0.075869, -1.860723, -0.008607);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791353801;(-0.146236, 1.820993, -1.199616);(0.044080, -1.847784, -0.022135);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791353901;(-0.157204, 1.822482, -1.212379);(0.012051, -1.837014, -0.022952);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791354001;(-0.171964, 1.822392, -1.218876);(0.007115, -1.826644, -0.020769);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791354101;(-0.193189, 1.824145, -1.221200);(-0.001157, -1.813034, -0.022245);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791354201;(-0.222198, 1.823056, -1.221659);(-0.001767, -1.804946, -0.026650);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791354301;(-0.254156, 1.819290, -1.217425);(0.003485, -1.806372, -0.023708);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791354401;(-0.290715, 1.817335, -1.210066);(-0.004237, -1.825850, -0.021400);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791354501;(-0.334141, 1.821995, -1.197546);(-0.018271, -1.849108, -0.032066);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791354601;(-0.375143, 1.818437, -1.182736);(0.012513, -1.844781, -0.045059);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791354701;(-0.409179, 1.821363, -1.162097);(0.005657, -1.836723, -0.048718);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791354801;(-0.430782, 1.822515, -1.144667);(-0.007156, -1.842486, -0.057580);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791354901;(-0.449774, 1.820614, -1.125137);(0.007116, -1.823190, -0.077995);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791355001;(-0.463552, 1.821816, -1.113429);(0.000932, -1.785526, -0.084421);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791355101;(-0.473914, 1.823378, -1.109474);(-0.007795, -1.771200, -0.076871);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791355201;(-0.485003, 1.823818, -1.113581);(-0.016568, -1.783853, -0.065648);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791355301;(-0.499230, 1.825879, -1.121230);(-0.027654, -1.807448, -0.057365);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791355401;(-0.520314, 1.828629, -1.132187);(-0.041858, -1.828218, -0.047198);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791355501;(-0.550166, 1.827240, -1.147436);(-0.039660, -1.842394, -0.041766);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791355602;(-0.586824, 1.823439, -1.164808);(-0.021845, -1.846781, -0.035964);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791355702;(-0.629133, 1.819595, -1.185636);(-0.008623, -1.843032, -0.029285);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791355802;(-0.676230, 1.817266, -1.213198);(0.000476, -1.834735, -0.018203);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791355902;(-0.720075, 1.819495, -1.242003);(0.032355, -1.836357, -0.012435);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791356002;(-0.756077, 1.824756, -1.273468);(0.039729, -1.831486, -0.007215);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791356102;(-0.785670, 1.826198, -1.303248);(0.039277, -1.806067, 0.010611);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791356202;(-0.807094, 1.823214, -1.325238);(0.051617, -1.783343, 0.025778);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791356302;(-0.820474, 1.827983, -1.335861);(0.043456, -1.761921, 0.015833);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791356402;(-0.830918, 1.829783, -1.345183);(0.025161, -1.730624, 0.010787);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791356502;(-0.841176, 1.830420, -1.353170);(0.007313, -1.707584, 0.017573);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791356602;(-0.854766, 1.833442, -1.357249);(-0.024386, -1.694385, 0.014801);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791356702;(-0.873049, 1.835988, -1.356090);(-0.041911, -1.678234, 0.006703);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791356802;(-0.896240, 1.835203, -1.356518);(-0.043474, -1.665468, -0.003067);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791356902;(-0.921280, 1.834567, -1.354622);(-0.041684, -1.661103, -0.009253);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791357002;(-0.948165, 1.835180, -1.348819);(-0.045722, -1.672133, -0.007691);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791357102;(-0.978291, 1.833749, -1.340412);(-0.041905, -1.696265, -0.008180);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791357202;(-1.012618, 1.828972, -1.328133);(-0.012999, -1.714676, -0.009420);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791357302;(-1.050545, 1.826213, -1.309388);(0.001812, -1.727901, -0.017189);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791357402;(-1.077695, 1.827791, -1.287133);(-0.000953, -1.727877, -0.028225);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791357502;(-1.107353, 1.828465, -1.261267);(-0.002358, -1.718011, -0.045977);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791357602;(-1.135108, 1.828218, -1.229915);(-0.007020, -1.700140, -0.053132);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791357702;(-1.155748, 1.823874, -1.208207);(0.000809, -1.688802, -0.060065);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791357802;(-1.177373, 1.821212, -1.191837);(0.020518, -1.682692, -0.062400);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791357902;(-1.187179, 1.823482, -1.181262);(0.016768, -1.685480, -0.055667);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791358002;(-1.199896, 1.826191, -1.175246);(0.002159, -1.681962, -0.047000);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791358102;(-1.218231, 1.828178, -1.174164);(-0.004747, -1.680949, -0.037419);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791358202;(-1.236021, 1.828892, -1.176969);(-0.004305, -1.692119, -0.033704);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791358303;(-1.260007, 1.828522, -1.182834);(0.000422, -1.701754, -0.030094);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791358403;(-1.287226, 1.826223, -1.189206);(0.009970, -1.697557, -0.025433);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791358503;(-1.321241, 1.824129, -1.199652);(0.020545, -1.687550, -0.022514);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791358603;(-1.363621, 1.822693, -1.214327);(0.038782, -1.674377, -0.015662);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791358703;(-1.404870, 1.822020, -1.232681);(0.057533, -1.658049, -0.017764);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791358803;(-1.439072, 1.826322, -1.249204);(0.065957, -1.631202, -0.014616);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791358903;(-1.467499, 1.830890, -1.267035);(0.065548, -1.605854, -0.011980);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791359003;(-1.488091, 1.834062, -1.283132);(0.060763, -1.601159, -0.012013);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791359103;(-1.505455, 1.835578, -1.299086);(0.055265, -1.605006, -0.018386);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791359203;(-1.517204, 1.835507, -1.310820);(0.045762, -1.595950, -0.025948);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791359303;(-1.526287, 1.833055, -1.318874);(0.046596, -1.573251, -0.031057);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791359403;(-1.532851, 1.831718, -1.321676);(0.050089, -1.540105, -0.041160);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791359503;(-1.536150, 1.830777, -1.319971);(0.052433, -1.517125, -0.054020);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791359603;(-1.541283, 1.828879, -1.315446);(0.059165, -1.490327, -0.062417);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791359703;(-1.550256, 1.829039, -1.307434);(0.057749, -1.458746, -0.068256);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791359803;(-1.565818, 1.829439, -1.296191);(0.053045, -1.430954, -0.072079);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791359903;(-1.587075, 1.827548, -1.282555);(0.057184, -1.411132, -0.073517);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791359998;(-1.610917, 1.824889, -1.268541);(0.062515, -1.405358, -0.067119);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791360098;(-1.641628, 1.826911, -1.249151);(0.053709, -1.424998, -0.056780);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791360198;(-1.668975, 1.825960, -1.228130);(0.060404, -1.439704, -0.063681);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791360298;(-1.698259, 1.824647, -1.203367);(0.068356, -1.445305, -0.068616);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791360398;(-1.725615, 1.822969, -1.182960);(0.070139, -1.456563, -0.063629);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791360498;(-1.748619, 1.818189, -1.167140);(0.084112, -1.482879, -0.057338);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791360598;(-1.766578, 1.817442, -1.158826);(0.095710, -1.517309, -0.056064);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791360698;(-1.781081, 1.821001, -1.157851);(0.083552, -1.544647, -0.046205);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791360798;(-1.794654, 1.824692, -1.162313);(0.064182, -1.573573, -0.034567);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791360898;(-1.808827, 1.828255, -1.169269);(0.046814, -1.593189, -0.022861);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791360999;(-1.820733, 1.829357, -1.175095);(0.052095, -1.604538, -0.012910);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791361099;(-1.831998, 1.831028, -1.179829);(0.044423, -1.619680, -0.006640);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791361199;(-1.841676, 1.831261, -1.181209);(0.048245, -1.635948, -0.009053);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791361299;(-1.847218, 1.829751, -1.178669);(0.060273, -1.636051, -0.011692);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791361399;(-1.848433, 1.828694, -1.173687);(0.067138, -1.621943, -0.012932);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791361499;(-1.845523, 1.828936, -1.166237);(0.064942, -1.597420, -0.012782);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791361599;(-1.841077, 1.829459, -1.156880);(0.057656, -1.565239, -0.012774);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791361699;(-1.836179, 1.828224, -1.145296);(0.055473, -1.505422, -0.015169);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791361799;(-1.828013, 1.827270, -1.130445);(0.065527, -1.412804, -0.018914);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791361899;(-1.818660, 1.828373, -1.115209);(0.066837, -1.273902, -0.020789);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791361999;(-1.807299, 1.828998, -1.097537);(0.067226, -1.079681, -0.040361);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791362099;(-1.794898, 1.826468, -1.081236);(0.103003, -0.836009, -0.041661);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791362199;(-1.774729, 1.824806, -1.065977);(0.146550, -0.564341, -0.041248);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791362299;(-1.748209, 1.821712, -1.051809);(0.181873, -0.266236, -0.043621);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791362399;(-1.721680, 1.812982, -1.037726);(0.234823, -0.006158, -0.005538);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791362499;(-1.686428, 1.805308, -1.028384);(0.287044, 0.177561, 0.029880);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791362599;(-1.650559, 1.802254, -1.032625);(0.309278, 0.296124, 0.004683);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791362699;(-1.615310, 1.805455, -1.042943);(0.293085, 0.377707, -0.018243);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791362799;(-1.581796, 1.808352, -1.053328);(0.255105, 0.429404, -0.028423);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791362899;(-1.543386, 1.804078, -1.068207);(0.233321, 0.543813, -0.045109);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791362999;(-1.504748, 1.799708, -1.092949);(0.241947, 0.801105, -0.071459);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684791363099;(-1.478724, 1.806685, -1.125041);(0.214036, 1.152460, -0.045506);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
