CaptureTime;HeadsetPos;HeadsetRotation;CombinedGazeForward;FocusDistance;FocusStability;CalcXEccentricity;CalcYEccentricity;LeftForward;RightForward;LeftPosition;RightPosition
1684534937420;(-0.395309, 1.035251, -0.822776);(-0.053435, 0.296869, -0.053861);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684534937521;(-0.395309, 1.035251, -0.822776);(-0.053435, 0.296869, -0.053861);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684534937621;(-0.395309, 1.035251, -0.822776);(-0.053435, 0.296869, -0.053861);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684534937721;(-0.395309, 1.035251, -0.822776);(-0.053435, 0.296869, -0.053861);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684534937821;(-0.395309, 1.035251, -0.822776);(-0.053435, 0.296869, -0.053861);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684534937921;(-0.396097, 1.029689, -0.821098);(-0.057129, 0.297195, -0.078575);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684534938021;(-0.397432, 1.027171, -0.822050);(-0.039606, 0.328406, -0.075840);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684534938121;(-0.399084, 1.026015, -0.821091);(-0.024619, 0.367160, -0.058718);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684534938221;(-0.397980, 1.023188, -0.819579);(-0.036152, 0.351173, -0.069690);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684534938321;(-0.396928, 1.021693, -0.817074);(-0.030678, 0.335565, -0.071801);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684534938421;(-0.397080, 1.022076, -0.813243);(-0.020328, 0.335638, -0.064365);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684534938521;(-0.397358, 1.023050, -0.810118);(-0.020548, 0.334251, -0.061216);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684534938621;(-0.397130, 1.023841, -0.808720);(-0.022648, 0.339110, -0.060021);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684534938721;(-0.397242, 1.023929, -0.809049);(-0.023046, 0.343620, -0.056267);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684534938821;(-0.397944, 1.022376, -0.811047);(-0.013927, 0.347196, -0.060024);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684534938921;(-0.399224, 1.020356, -0.813772);(0.000158, 0.358043, -0.064069);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684534939021;(-0.400090, 1.019194, -0.816775);(0.005083, 0.373089, -0.067575);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684534939121;(-0.400081, 1.019119, -0.819271);(0.004191, 0.380283, -0.069109);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684534939221;(-0.396750, 1.014491, -0.821351);(0.009460, 0.395971, -0.062939);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684534939321;(-0.385759, 0.990640, -0.828840);(0.069353, 0.444025, -0.061086);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684534939421;(-0.376135, 0.955427, -0.843370);(0.127800, 0.489579, -0.067200);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684534939521;(-0.376992, 0.927928, -0.873422);(0.140486, 0.483968, -0.115409);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684534939621;(-0.393163, 0.913000, -0.929749);(0.105414, 0.455325, -0.175751);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684534939721;(-0.418166, 0.894152, -1.001297);(0.095841, 0.444560, -0.215431);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684534939821;(-0.444393, 0.865989, -1.082239);(0.078356, 0.419620, -0.273909);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684534939921;(-0.459951, 0.835874, -1.171505);(0.068300, 0.342861, -0.451724);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684534940021;(-0.457624, 0.823933, -1.261706);(0.057228, 0.339348, -0.581956);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684534940121;(-0.446064, 0.824165, -1.335493);(0.041147, 0.442932, -0.503708);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
