CaptureTime;HeadsetPos;HeadsetRotation;CombinedGazeForward;FocusDistance;FocusStability;CalcXEccentricity;CalcYEccentricity;LeftForward;RightForward;LeftPosition;RightPosition
1684534053766;(-0.307973, 0.875677, -1.642531);(0.234084, -1.594866, -0.001751);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684534053866;(-0.307973, 0.875677, -1.642531);(0.234084, -1.594866, -0.001751);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684534053966;(-0.307973, 0.875677, -1.642531);(0.234084, -1.594866, -0.001751);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684534054066;(-0.307973, 0.875677, -1.642531);(0.234084, -1.594866, -0.001751);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684534054166;(-0.307973, 0.875677, -1.642531);(0.234084, -1.594866, -0.001751);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684534054266;(-0.307973, 0.875677, -1.642531);(0.220580, -1.612440, 0.014674);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684534054366;(-0.307973, 0.875677, -1.642531);(0.199550, -1.637075, 0.006778);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684534054466;(-0.307973, 0.875677, -1.642531);(0.186875, -1.648563, 0.026558);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684534054567;(-0.307973, 0.875677, -1.642531);(0.194816, -1.654643, 0.028283);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684534054662;(-0.307973, 0.875677, -1.642531);(0.207732, -1.655137, 0.007563);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684534054762;(-0.307973, 0.875677, -1.642531);(0.212921, -1.651495, -0.009130);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684534054862;(-0.307973, 0.875677, -1.642531);(0.219365, -1.646719, -0.000930);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684534054962;(-0.307973, 0.875677, -1.642531);(0.229016, -1.645885, -0.000494);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
