CaptureTime;HeadsetPos;HeadsetRotation;CombinedGazeForward;FocusDistance;FocusStability;CalcXEccentricity;CalcYEccentricity;LeftForward;RightForward;LeftPosition;RightPosition
1684539279869;(-0.222347, 1.597764, -1.069636);(-0.010629, -0.081110, 0.019523);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684539279969;(-0.222347, 1.597764, -1.069636);(-0.010629, -0.081110, 0.019523);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684539280069;(-0.222347, 1.597764, -1.069636);(-0.010629, -0.081110, 0.019523);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684539280169;(-0.222347, 1.597764, -1.069636);(-0.010629, -0.081110, 0.019523);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684539280270;(-0.222347, 1.597764, -1.069636);(-0.010629, -0.081110, 0.019523);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684539280370;(-0.222186, 1.597763, -1.069621);(-0.011007, -0.081798, 0.019417);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684539280470;(-0.220883, 1.597798, -1.069373);(-0.013039, -0.083339, 0.022218);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684539280570;(-0.217475, 1.598280, -1.068263);(-0.017806, -0.082948, 0.022637);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684539280670;(-0.211875, 1.598406, -1.067151);(-0.019897, -0.078172, 0.024278);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684539280770;(-0.203494, 1.597936, -1.066099);(-0.021108, -0.071678, 0.028446);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684539280870;(-0.194500, 1.597943, -1.064703);(-0.018970, -0.064833, 0.032202);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684539280970;(-0.183030, 1.597076, -1.063445);(-0.013852, -0.059615, 0.034205);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684539281070;(-0.171143, 1.595051, -1.063990);(-0.014854, -0.058790, 0.034008);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684539281170;(-0.161975, 1.592989, -1.064336);(-0.016995, -0.056647, 0.036496);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684539281270;(-0.154617, 1.590395, -1.064169);(-0.016678, -0.059307, 0.038881);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684539281370;(-0.150855, 1.588303, -1.064282);(-0.009465, -0.064587, 0.040168);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684539281470;(-0.149144, 1.586746, -1.064946);(-0.004691, -0.076231, 0.041656);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684539281570;(-0.149875, 1.586254, -1.065752);(-0.001546, -0.095391, 0.040679);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684539281670;(-0.151520, 1.585914, -1.067016);(0.001040, -0.106090, 0.036185);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684539281770;(-0.154627, 1.585584, -1.068202);(0.002805, -0.108834, 0.037286);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684539281870;(-0.158665, 1.585461, -1.069262);(0.005689, -0.114194, 0.037987);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684539281970;(-0.162817, 1.585128, -1.069819);(0.008099, -0.115249, 0.039935);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684539282070;(-0.166141, 1.585083, -1.070323);(0.011668, -0.113451, 0.040863);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684539282170;(-0.170065, 1.585558, -1.071568);(0.011479, -0.112731, 0.043604);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684539282270;(-0.172998, 1.586285, -1.072287);(0.003697, -0.115304, 0.042214);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684539282370;(-0.174805, 1.586123, -1.072519);(0.006376, -0.111769, 0.042731);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684539282470;(-0.176325, 1.586439, -1.072464);(0.006760, -0.110993, 0.040192);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684539282570;(-0.177545, 1.586855, -1.072026);(0.003673, -0.109847, 0.040322);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684539282670;(-0.178413, 1.586671, -1.071269);(0.003137, -0.107912, 0.039669);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684539282770;(-0.179031, 1.587029, -1.070967);(0.004218, -0.101620, 0.039535);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684539282871;(-0.179648, 1.587331, -1.071603);(0.001874, -0.100387, 0.040485);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684539282971;(-0.180395, 1.587591, -1.073163);(-0.000608, -0.101223, 0.040102);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684539283071;(-0.180695, 1.587879, -1.074106);(-0.002664, -0.098520, 0.039225);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684539283171;(-0.181063, 1.587699, -1.074984);(-0.003569, -0.097256, 0.039061);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684539283271;(-0.181447, 1.587791, -1.075385);(-0.002927, -0.098118, 0.038759);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684539283371;(-0.181766, 1.587880, -1.075386);(-0.002561, -0.097167, 0.038879);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684539283471;(-0.181952, 1.587821, -1.075564);(-0.001403, -0.096947, 0.040282);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684539283571;(-0.181931, 1.588112, -1.075983);(-0.003252, -0.098477, 0.040303);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684539283671;(-0.181290, 1.588548, -1.076322);(-0.005577, -0.095350, 0.037657);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684539283771;(-0.181151, 1.589317, -1.076560);(-0.007257, -0.093503, 0.034759);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684539283871;(-0.181316, 1.591631, -1.076783);(-0.013813, -0.094993, 0.032789);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684539283971;(-0.181704, 1.592808, -1.076644);(-0.026184, -0.097993, 0.027514);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684539284071;(-0.182577, 1.592710, -1.075885);(-0.025214, -0.093418, 0.026850);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684539284171;(-0.184175, 1.591916, -1.075689);(-0.017658, -0.093527, 0.027057);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684539284271;(-0.185443, 1.591774, -1.075931);(-0.020308, -0.093413, 0.030102);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684539284371;(-0.185914, 1.591856, -1.075602);(-0.023944, -0.088363, 0.028367);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684539284471;(-0.185757, 1.591761, -1.074819);(-0.020625, -0.081755, 0.024517);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684539284571;(-0.185119, 1.594124, -1.074857);(-0.027050, -0.076060, 0.020935);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
