CaptureTime;HeadsetPos;HeadsetRotation;CombinedGazeForward;FocusDistance;FocusStability;CalcXEccentricity;CalcYEccentricity;LeftForward;RightForward;LeftPosition;RightPosition
1684534483198;(-0.057942, 0.819483, -0.033560);(0.236192, 0.259698, -0.034380);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684534483298;(-0.057942, 0.819483, -0.033560);(0.236192, 0.259698, -0.034380);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684534483398;(-0.057942, 0.819483, -0.033560);(0.236192, 0.259698, -0.034380);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684534483498;(-0.057942, 0.819483, -0.033560);(0.236192, 0.259698, -0.034380);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684534483598;(-0.057942, 0.819483, -0.033560);(0.236192, 0.259698, -0.034380);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684534483698;(-0.047287, 0.833216, -0.069483);(0.244735, 0.323765, 0.034426);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684534483798;(-0.036256, 0.852195, -0.103519);(0.199250, 0.386255, 0.058238);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684534483898;(-0.029978, 0.872156, -0.126480);(0.132691, 0.428793, 0.031860);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684534483998;(-0.028285, 0.890431, -0.138853);(0.109514, 0.442893, -0.016593);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684534484098;(-0.029882, 0.904388, -0.146913);(0.120687, 0.431881, -0.075500);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684534484198;(-0.032286, 0.915312, -0.157093);(0.142093, 0.419162, -0.116392);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684534484298;(-0.032684, 0.921925, -0.170482);(0.163114, 0.411770, -0.115883);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684534484398;(-0.029661, 0.924025, -0.183519);(0.183078, 0.398519, -0.103604);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684534484498;(-0.025954, 0.921962, -0.194717);(0.197508, 0.385427, -0.082524);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684534484598;(-0.022846, 0.917576, -0.204980);(0.212059, 0.378920, -0.071937);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684534484698;(-0.019826, 0.916364, -0.212321);(0.233432, 0.370310, -0.091729);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684534484799;(-0.016592, 0.916559, -0.216476);(0.257288, 0.367903, -0.080470);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684534484899;(-0.012067, 0.916456, -0.216423);(0.276786, 0.357702, -0.059804);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684534484999;(-0.008398, 0.918068, -0.211738);(0.271344, 0.329769, -0.072049);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
