CaptureTime;HeadsetPos;HeadsetRotation;CombinedGazeForward;FocusDistance;FocusStability;CalcXEccentricity;CalcYEccentricity;LeftForward;RightForward;LeftPosition;RightPosition
1684795685343;(-1.678462, 0.735419, -3.440063);(0.914881, -0.744587, -0.598301);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684795685443;(-1.678462, 0.735419, -3.440063);(0.914881, -0.744587, -0.598301);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684795685543;(-1.678462, 0.735419, -3.440063);(0.914881, -0.744587, -0.598301);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684795685643;(-1.678462, 0.735419, -3.440063);(0.914881, -0.744587, -0.598301);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684795685743;(-1.678462, 0.735419, -3.440063);(0.914881, -0.744587, -0.598301);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684795685843;(-1.662889, 0.764237, -3.388879);(0.903484, -0.741050, -0.587174);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684795685943;(-1.645489, 0.814092, -3.338011);(0.895934, -0.723914, -0.566960);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684795686043;(-1.632510, 0.864977, -3.299207);(0.857861, -0.700819, -0.609959);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684795686143;(-1.621631, 0.910508, -3.269352);(0.814234, -0.634377, -0.600371);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684795686243;(-1.607597, 0.950331, -3.250789);(0.785039, -0.588568, -0.577834);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684795686343;(-1.585940, 0.984313, -3.226732);(0.747369, -0.530695, -0.579232);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684795686443;(-1.560272, 1.010385, -3.198726);(0.703838, -0.467448, -0.583231);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684795686544;(-1.529084, 1.035841, -3.166994);(0.656226, -0.383011, -0.574817);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684795686644;(-1.496081, 1.058984, -3.135785);(0.609125, -0.308651, -0.588086);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684795686744;(-1.469152, 1.077770, -3.105165);(0.581593, -0.233968, -0.611970);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684795686844;(-1.447532, 1.094407, -3.089265);(0.523178, -0.149419, -0.556897);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684795686944;(-1.433222, 1.107538, -3.081127);(0.490582, -0.074419, -0.540851);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684795687044;(-1.428822, 1.122457, -3.077295);(0.437856, -0.013147, -0.595307);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684795687144;(-1.419681, 1.134686, -3.067462);(-0.091796, 1.186146, -0.942665);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684795687244;(-1.411056, 1.146847, -3.065456);(-0.113070, 1.211768, -0.816200);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684795687344;(-1.407863, 1.165625, -3.066999);(-0.126081, 1.264265, -0.713541);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684795687444;(-1.399204, 1.179748, -3.073050);(-0.180284, 1.398636, -0.781659);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684795687544;(-1.379846, 1.176799, -3.081801);(-0.140268, 1.477998, -0.828681);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684795687644;(-1.343822, 1.170304, -3.076801);(-0.085421, 1.405470, -0.850753);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684795687744;(-1.308721, 1.161008, -3.090687);(-0.010455, 1.341533, -0.775939);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684795687844;(-1.266991, 1.159233, -3.105125);(-0.025483, 1.316227, -0.798741);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684795687944;(-1.229276, 1.161282, -3.116427);(-0.001506, 1.235417, -0.716452);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684795688044;(-1.189483, 1.171008, -3.115250);(0.027736, 1.123409, -0.431726);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684795688144;(-1.160535, 1.179664, -3.123862);(0.059735, 1.054393, -0.245235);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684795688244;(-1.138988, 1.186311, -3.127874);(0.066932, 0.981909, -0.136632);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684795688344;(-1.127530, 1.188124, -3.124465);(0.014631, 0.911708, 0.007902);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684795688444;(-1.122164, 1.184070, -3.108616);(-0.015161, 0.845726, 0.123560);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684795688544;(-1.117255, 1.169242, -3.096421);(0.058038, 0.816565, 0.130160);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684795688644;(-1.110933, 1.151122, -3.078780);(0.112709, 0.810183, 0.086234);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684795688744;(-1.104140, 1.137368, -3.059402);(0.139320, 0.834373, 0.125535);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684795688844;(-1.094964, 1.137426, -3.040369);(0.132498, 0.871170, 0.155209);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
