posX	posY	posZ	velX	velY	velZ	velN	velE	velD
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
-0.01674763	0.01116162	-0.004464918	0	0	0	0	0	0.02172476
-0.01674666	0.01116374	-0.004463205	0	0	0	0	0	0.02172476
-0.01674666	0.01116374	-0.004463205	0	0	0	0	0	0.02172476
-0.01674666	0.01116374	-0.004463205	0	0	0	0	0	0.02172476
-0.01674666	0.01116374	-0.004463205	0	0	0	0	0	0.02172476
-0.01674666	0.01116374	-0.004463205	0	0	0	0	0	0.03778705
-0.01674666	0.01116374	-0.004463205	0	0	0	0	0	0.03778705
-0.01674666	0.01116374	-0.004463205	0	0	0	0	0	0.03778705
-0.01674666	0.01116374	-0.004463205	0	0	0	0	0	0.03778705
-0.01674666	0.01116374	-0.004463205	0	0	0	0	0	0.03778705
-0.01674666	0.01116374	-0.004463205	0	0	0	0	0	0.04548791
-0.01674666	0.01116374	-0.004463205	0	0	0	0	0	0.04548791
-0.01674666	0.01116374	-0.004463205	0	0	0	0	0	0.04548791
-0.01674666	0.01116374	-0.004463205	0	0	0	0	0	0.04548791
-0.01674666	0.01116374	-0.004463205	0	0	0	0	0	0.04548791
-0.01674711	0.01116302	-0.00446335	0	0	0	0	0	0.04548791
-0.01674711	0.01116302	-0.00446335	0	0	0	0	0	0.04548791
-0.01674711	0.01116302	-0.00446335	0	0	0	0	0	0.04548791
-0.01674711	0.01116302	-0.00446335	0	0	0	0	0	0.04226015
-0.01674711	0.01116302	-0.00446335	0	0	0	0	0	0.04226015
-0.01674711	0.01116302	-0.00446335	0	0	0	0	0	0.04226015
-0.01674711	0.01116302	-0.00446335	0	0	0	0	0	0.04226015
-0.01674711	0.01116302	-0.00446335	0	0	0	0	0	0.04226015
-0.01674711	0.01116302	-0.00446335	0	0	0	0	0	0.04226015
-0.01674711	0.01116302	-0.00446335	0	0	0	0	0	0.04226015
-0.01674711	0.01116302	-0.00446335	0	0	0	0	0	0.04226015
-0.01674711	0.01116302	-0.00446335	0	0	0	0	0	0.04226015
-0.01674711	0.01116302	-0.00446335	0	0	0	0	0	0.02430446
-0.01674711	0.01116302	-0.00446335	0	0	0	0	0	0.02430446
-0.01674711	0.01116302	-0.00446335	0	0	0	0	0	0.02430446
-0.01674711	0.01116302	-0.00446335	0	0	0	0	0	0.02430446
-0.01674711	0.01116302	-0.00446335	0	0	0	0	0	0.02430446
-0.01674744	0.01116261	-0.004463134	0	0	0	0	0	0.02430446
-0.01674744	0.01116261	-0.004463134	0	0	0	0	0	0.02430446
-0.01674744	0.01116261	-0.004463134	0	0	0	0	0	0.02430446
-0.01674744	0.01116261	-0.004463134	0	0	0	0	0	0.01605717
-0.01674744	0.01116261	-0.004463134	0	0	0	0	0	0.01605717
-0.01674744	0.01116261	-0.004463134	0	0	0	0	0	0.01605717
-0.01674744	0.01116261	-0.004463134	0	0	0	0	0	0.01605717
-0.01674744	0.01116261	-0.004463134	0	0	0	0	0	0.01605717
-0.01674744	0.01116261	-0.004463134	0	0	0	0	0	0.01605717
-0.01674744	0.01116261	-0.004463134	0	0	0	0	0	0.01605717
-0.01674744	0.01116261	-0.004463134	0	0	0	0	0	0.01605717
-0.01674744	0.01116261	-0.004463134	0	0	0	0	0	0.01605717
-0.01674744	0.01116261	-0.004463134	0	0	0	0	0	0.01605717
-0.01674744	0.01116261	-0.004463134	0	0	0	0	0	-0.00328509
-0.01674744	0.01116261	-0.004463134	0	0	0	0	0	-0.00328509
-0.01674744	0.01116261	-0.004463134	0	0	0	0	0	-0.00328509
-0.01674744	0.01116261	-0.004463134	0	0	0	0	0	-0.00328509
-0.01674744	0.01116261	-0.004463134	0	0	0	0	0	-0.00328509
-0.01674828	0.01116097	-0.004464062	0	0	0	0	0	-0.00328509
-0.01674828	0.01116097	-0.004464062	0	0	0	0	0	-0.00328509
-0.01674828	0.01116097	-0.004464062	0	0	0	0	0	-0.00328509
-0.01674828	0.01116097	-0.004464062	0	0	0	0	0	-0.00328509
-0.01674828	0.01116097	-0.004464062	0	0	0	0	0	-0.00328509
-0.01674828	0.01116097	-0.004464062	0	0	0	0	0	0.01707607
-0.01674828	0.01116097	-0.004464062	0	0	0	0	0	0.01707607
-0.01674828	0.01116097	-0.004464062	0	0	0	0	0	0.01707607
-0.01674828	0.01116097	-0.004464062	0	0	0	0	0	0.01707607
-0.01674828	0.01116097	-0.004464062	0	0	0	0	0	0.01707607
-0.01674828	0.01116097	-0.004464062	0	0	0	0	0	0.01707607
-0.01674828	0.01116097	-0.004464062	0	0	0	0	0	0.01707607
-0.01674828	0.01116097	-0.004464062	0	0	0	0	0	0.01707607
-0.01674828	0.01116097	-0.004464062	0	0	0	0	0	0.01707607
-0.01674828	0.01116097	-0.004464062	0	0	0	0	0	0.0003271755
-0.01674828	0.01116097	-0.004464062	0	0	0	0	0	0.0003271755
-0.01674828	0.01116097	-0.004464062	0	0	0	0	0	0.0003271755
-0.01674828	0.01116097	-0.004464062	0	0	0	0	0	0.0003271755
-0.01674817	0.01116087	-0.00446473	0	0	0	0	0	0.0003271755
-0.01674817	0.01116087	-0.00446473	0	0	0	0	0	0.0003271755
-0.01674817	0.01116087	-0.00446473	0	0	0	0	0	0.0003271755
-0.01674817	0.01116087	-0.00446473	0	0	0	0	0	0.0003271755
-0.01674817	0.01116087	-0.00446473	0	0	0	0	0	0.0003271755
-0.01674817	0.01116087	-0.00446473	0	0	0	0	0	-0.03056208
-0.01674817	0.01116087	-0.00446473	0	0	0	0	0	-0.03056208
-0.01674817	0.01116087	-0.00446473	0	0	0	0	0	-0.03056208
-0.01674817	0.01116087	-0.00446473	0	0	0	0	0	-0.03056208
-0.01674817	0.01116087	-0.00446473	0	0	0	0	0	-0.03056208
-0.01674817	0.01116087	-0.00446473	0	0	0	0	0	-0.03056208
-0.01674817	0.01116087	-0.00446473	0	0	0	0	0	-0.03056208
-0.01674817	0.01116087	-0.00446473	0	0	0	0	0	-0.03056208
-0.01674817	0.01116087	-0.00446473	0	0	0	0	0	-0.03504651
-0.01674817	0.01116087	-0.00446473	0	0	0	0	0	-0.03504651
-0.01674817	0.01116087	-0.00446473	0	0	0	0	0	-0.03504651
-0.01674817	0.01116087	-0.00446473	0	0	0	0	0	-0.03504651
-0.01674817	0.01116087	-0.00446473	0	0	0	0	0	-0.03504651
-0.0167479	0.01116113	-0.00446512	0	0	0	0	0	-0.03504651
-0.0167479	0.01116113	-0.00446512	0	0	0	0	0	-0.03504651
-0.0167479	0.01116113	-0.00446512	0	0	0	0	0	-0.03504651
-0.0167479	0.01116113	-0.00446512	0	0	0	0	0	-0.03504651
-0.0167479	0.01116113	-0.00446512	0	0	0	0	0	-0.03504651
-0.0167479	0.01116113	-0.00446512	0	0	0	0	0	-0.01877321
-0.0167479	0.01116113	-0.00446512	0	0	0	0	0	-0.01877321
-0.0167479	0.01116113	-0.00446512	0	0	0	0	0	-0.01877321
-0.0167479	0.01116113	-0.00446512	0	0	0	0	0	-0.01877321
-0.0167479	0.01116113	-0.00446512	0	0	0	0	0	-0.01877321
-0.0167479	0.01116113	-0.00446512	0	0	0	0	0	-0.01877321
-0.0167479	0.01116113	-0.00446512	0	0	0	0	0	-0.01877321
-0.0167479	0.01116113	-0.00446512	0	0	0	0	0	-0.01877321
-0.0167479	0.01116113	-0.00446512	0	0	0	0	0	-0.01877321
-0.0167479	0.01116113	-0.00446512	0	0	0	0	0	-0.0240979
-0.0167479	0.01116113	-0.00446512	0	0	0	0	0	-0.0240979
-0.0167479	0.01116113	-0.00446512	0	0	0	0	0	-0.0240979
-0.0167479	0.01116113	-0.00446512	0	0	0	0	0	-0.0240979
-0.0167479	0.01116113	-0.00446512	0	0	0	0	0	-0.0240979
-0.01674702	0.01116245	-0.004465095	0	0	0	0	0	-0.0240979
-0.01674702	0.01116245	-0.004465095	0	0	0	0	0	-0.0240979
-0.01674702	0.01116245	-0.004465095	0	0	0	0	0	-0.0240979
-0.01674702	0.01116245	-0.004465095	0	0	0	0	0	-0.0240979
-0.01674702	0.01116245	-0.004465095	0	0	0	0	0	-0.02055754
-0.01674702	0.01116245	-0.004465095	0	0	0	0	0	-0.02055754
-0.01674702	0.01116245	-0.004465095	0	0	0	0	0	-0.02055754
-0.01674702	0.01116245	-0.004465095	0	0	0	0	0	-0.02055754
-0.01674702	0.01116245	-0.004465095	0	0	0	0	0	-0.02055754
-0.01674702	0.01116245	-0.004465095	0	0	0	0	0	-0.02055754
-0.01674702	0.01116245	-0.004465095	0	0	0	0	0	-0.02055754
-0.01674702	0.01116245	-0.004465095	0	0	0	0	0	-0.02055754
-0.01674702	0.01116245	-0.004465095	0	0	0	0	0	-0.02055754
-0.01674702	0.01116245	-0.004465095	0	0	0	0	0	-0.02311286
-0.01674702	0.01116245	-0.004465095	0	0	0	0	0	-0.02311286
-0.01674702	0.01116245	-0.004465095	0	0	0	0	0	-0.02311286
-0.01674702	0.01116245	-0.004465095	0	0	0	0	0	-0.02311286
-0.01674702	0.01116245	-0.004465095	0	0	0	0	0	-0.02311286
-0.01674774	0.01116175	-0.004464148	0	0	0	0	0	-0.02311286
-0.01674774	0.01116175	-0.004464148	0	0	0	0	0	-0.02311286
-0.01674774	0.01116175	-0.004464148	0	0	0	0	0	-0.02311286
-0.01674774	0.01116175	-0.004464148	0	0	0	0	0	-0.02311286
-0.01674774	0.01116175	-0.004464148	0	0	0	0	0	-0.02311286
-0.01674774	0.01116175	-0.004464148	0	0	0	0	0	-0.02311286
-0.01674774	0.01116175	-0.004464148	0	0	0	0	0	-0.02311286
-0.01674774	0.01116175	-0.004464148	0	0	0	0	0	-0.02311286
-0.01674774	0.01116175	-0.004464148	0	0	0	0	0	-0.02311286
-0.01674774	0.01116175	-0.004464148	0	0	0	0	0	-0.01411534
-0.01674774	0.01116175	-0.004464148	0	0	0	0	0	-0.01411534
-0.01674774	0.01116175	-0.004464148	0	0	0	0	0	-0.01411534
-0.01674774	0.01116175	-0.004464148	0	0	0	0	0	-0.01411534
-0.01674774	0.01116175	-0.004464148	0	0	0	0	0	-0.01411534
-0.01674774	0.01116175	-0.004464148	0	0	0	0	0	0.0003967296
-0.01674774	0.01116175	-0.004464148	0	0	0	0	0	0.0003967296
-0.01674774	0.01116175	-0.004464148	0	0	0	0	0	0.0003967296
-0.01674774	0.01116175	-0.004464148	0	0	0	0	0	0.0003967296
-0.01674751	0.0111627	-0.004462616	0	0	0	0	0	0.0003967296
-0.01674751	0.0111627	-0.004462616	0	0	0	0	0	0.0003967296
-0.01674751	0.0111627	-0.004462616	0	0	0	0	0	0.0003967296
-0.01674751	0.0111627	-0.004462616	0	0	0	0	0	0.0003967296
-0.01674751	0.0111627	-0.004462616	0	0	0	0	0	0.0003967296
-0.01674751	0.0111627	-0.004462616	0	0	0	0	0	0.009480615
-0.01674751	0.0111627	-0.004462616	0	0	0	0	0	0.009480615
-0.01674751	0.0111627	-0.004462616	0	0	0	0	0	0.009480615
-0.01674751	0.0111627	-0.004462616	0	0	0	0	0	0.009480615
-0.01674751	0.0111627	-0.004462616	0	0	0	0	0	0.009480615
-0.01674751	0.0111627	-0.004462616	0	0	0	0	0	0.009480615
-0.01674751	0.0111627	-0.004462616	0	0	0	0	0	0.009480615
-0.01674751	0.0111627	-0.004462616	0	0	0	0	0	0.009480615
-0.01674751	0.0111627	-0.004462616	0	0	0	0	0	0.009480615
