CaptureTime;HeadsetPos;HeadsetRotation;CombinedGazeForward;FocusDistance;FocusStability;CalcXEccentricity;CalcYEccentricity;LeftForward;RightForward;LeftPosition;RightPosition
1684712605845;(0.007280, 1.285216, -0.351126);(-0.018366, 0.289377, -0.012436);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684712605945;(0.007280, 1.285216, -0.351126);(-0.018366, 0.289377, -0.012436);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684712606045;(0.007280, 1.285216, -0.351126);(-0.018366, 0.289377, -0.012436);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684712606145;(0.007280, 1.285216, -0.351126);(-0.018366, 0.289377, -0.012436);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684712606245;(0.007280, 1.285216, -0.351126);(-0.018366, 0.289377, -0.012436);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684712606345;(0.004519, 1.285975, -0.351169);(-0.020280, 0.255972, -0.018682);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684712606445;(0.002715, 1.286741, -0.351877);(-0.026276, 0.234707, -0.023953);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684712606545;(0.001575, 1.287332, -0.352946);(-0.029734, 0.221716, -0.029269);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684712606645;(0.001238, 1.287720, -0.353690);(-0.032129, 0.217182, -0.034431);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684712606745;(0.000638, 1.287825, -0.354173);(-0.033503, 0.216666, -0.034479);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684712606845;(-0.000480, 1.288144, -0.354297);(-0.036134, 0.213386, -0.033882);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684712606945;(-0.002321, 1.288025, -0.353941);(-0.034417, 0.201631, -0.031640);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684712607045;(-0.005037, 1.288213, -0.353903);(-0.035198, 0.182854, -0.027121);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684712607145;(-0.008395, 1.288267, -0.353879);(-0.033693, 0.157122, -0.028190);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684712607245;(-0.014071, 1.291450, -0.353799);(-0.060459, 0.105472, -0.039009);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684712607345;(-0.024927, 1.291557, -0.355291);(-0.057582, 0.006819, -0.034773);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684712607445;(-0.032648, 1.292161, -0.356761);(-0.061307, -0.052120, -0.019811);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684712607545;(-0.036755, 1.293500, -0.359435);(-0.070015, -0.076351, -0.010531);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684712607645;(-0.039118, 1.293856, -0.360917);(-0.072488, -0.087341, -0.006649);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684712607745;(-0.041907, 1.293181, -0.361227);(-0.067634, -0.104181, -0.004725);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684712607845;(-0.046692, 1.294249, -0.360475);(-0.081563, -0.140643, 0.006695);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684712607945;(-0.048858, 1.293768, -0.360104);(-0.075901, -0.165768, 0.008062);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684712608045;(-0.049846, 1.294187, -0.360299);(-0.080461, -0.183326, 0.005400);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684712608146;(-0.050449, 1.293550, -0.361010);(-0.073897, -0.202912, 0.002556);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684712608246;(-0.053286, 1.294662, -0.362035);(-0.084622, -0.242825, -0.003651);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684712608346;(-0.058005, 1.296594, -0.362514);(-0.101323, -0.300049, -0.004547);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684712608446;(-0.060281, 1.298483, -0.362399);(-0.116404, -0.327855, -0.005760);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684712608546;(-0.062015, 1.297694, -0.362907);(-0.109505, -0.343097, -0.008374);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684712608646;(-0.064774, 1.298053, -0.363859);(-0.113308, -0.373160, -0.017143);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
