CaptureTime;HeadsetPos;HeadsetRotation;CombinedGazeForward;FocusDistance;FocusStability;CalcXEccentricity;CalcYEccentricity;LeftForward;RightForward;LeftPosition;RightPosition
1684541328233;(-0.077472, 0.771996, -0.104596);(0.052969, 0.337225, -0.041513);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684541328333;(-0.077472, 0.771996, -0.104596);(0.052969, 0.337225, -0.041513);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684541328433;(-0.077472, 0.771996, -0.104596);(0.052969, 0.337225, -0.041513);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684541328533;(-0.077472, 0.771996, -0.104596);(0.052969, 0.337225, -0.041513);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684541328633;(-0.077472, 0.771996, -0.104596);(0.052969, 0.337225, -0.041513);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684541328733;(-0.077748, 0.772343, -0.104858);(0.051761, 0.347260, -0.040611);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684541328833;(-0.077260, 0.774364, -0.107463);(0.032351, 0.385622, -0.036058);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684541328933;(-0.075390, 0.776263, -0.110343);(0.021519, 0.413014, -0.025974);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684541329033;(-0.073059, 0.777114, -0.113278);(0.029014, 0.423115, -0.033670);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684541329133;(-0.071754, 0.776308, -0.115085);(0.038977, 0.427825, -0.032114);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684541329233;(-0.072482, 0.775354, -0.114224);(0.036938, 0.432994, -0.031203);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684541329334;(-0.073181, 0.774728, -0.112877);(0.036323, 0.434590, -0.039290);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684541329434;(-0.073824, 0.773420, -0.113146);(0.036705, 0.435604, -0.033661);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684541329534;(-0.075241, 0.771060, -0.113629);(0.037896, 0.436104, -0.024662);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
