posX	posY	posZ	velX	velY	velZ	velN	velE	velD
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0.01599647	0.01187888	-0.005292014	0	0	0	0.0003904957	-0.0004432864	0.0005014024
0.01599647	0.01187888	-0.005292014	0	0	0	0.0003904957	-0.0004432864	0.0005014024
0.01599647	0.01187888	-0.005292014	0	0	0	0.0003904957	-0.0004432864	0.0005014024
0.01599647	0.01187888	-0.005292014	0	0	0	0.0003904957	-0.0004432864	0.0005014024
0.01599647	0.01187888	-0.005292014	0	0	0	0.0003904957	-0.0004432864	0.0005014024
0.01599647	0.01187888	-0.005292014	0	0	0	0.0003904957	-0.0004432864	0.0005014024
0.01599647	0.01187888	-0.005292014	0	0	0	0.0003904957	-0.0004432864	0.0005014024
0.01599647	0.01187888	-0.005292014	0	0	0	0.0003904957	-0.0004432864	0.0005014024
0.01599548	0.01187941	-0.005293779	0	0	0	0.0002933985	-0.0004315984	0.000461503
0.01599548	0.01187941	-0.005293779	0	0	0	0.0002933985	-0.0004315984	0.000461503
0.01599548	0.01187941	-0.005293779	0	0	0	0.0002933985	-0.0004315984	0.000461503
0.01599548	0.01187941	-0.005293779	0	0	0	0.0002933985	-0.0004315984	0.000461503
0.01599548	0.01187941	-0.005293779	0	0	0	0.0002933985	-0.0004315984	0.000461503
0.01599548	0.01187941	-0.005293779	0	0	0	0.0002933985	-0.0004315984	0.000461503
0.01599548	0.01187941	-0.005293779	0	0	0	0.0002933985	-0.0004315984	0.000461503
0.01599548	0.01187941	-0.005293779	0	0	0	0.0002933985	-0.0004315984	0.000461503
0.01599548	0.01187941	-0.005293779	0	0	0	0.0003943534	-0.0002974088	0.0007328197
0.01599548	0.01187941	-0.005293779	0	0	0	0.0003943534	-0.0002974088	0.0007328197
0.01599548	0.01187941	-0.005293779	0	0	0	0.0003943534	-0.0002974088	0.0007328197
0.01599548	0.01187941	-0.005293779	0	0	0	0.0003943534	-0.0002974088	0.0007328197
0.01599548	0.01187941	-0.005293779	0	0	0	0.0003943534	-0.0002974088	0.0007328197
0.01599548	0.01187941	-0.005293779	0	0	0	0.0003943534	-0.0002974088	0.0007328197
0.01599548	0.01187941	-0.005293779	0	0	0	0.0003943534	-0.0002974088	0.0007328197
0.01599548	0.01187941	-0.005293779	0	0	0	0.0003943534	-0.0002974088	0.0007328197
0.01599548	0.01187941	-0.005293779	0	0	0	0.0003943534	-0.0002974088	0.0007328197
0.01599555	0.0118798	-0.005292701	0	0	0	0.0003059402	-0.0003184581	-0.0003683134
0.01599555	0.0118798	-0.005292701	0	0	0	0.0003059402	-0.0003184581	-0.0003683134
0.01599555	0.0118798	-0.005292701	0	0	0	0.0003059402	-0.0003184581	-0.0003683134
0.01599555	0.0118798	-0.005292701	0	0	0	0.0003059402	-0.0003184581	-0.0003683134
0.01599555	0.0118798	-0.005292701	0	0	0	0.0003059402	-0.0003184581	-0.0003683134
0.01599555	0.0118798	-0.005292701	0	0	0	0.0003059402	-0.0003184581	-0.0003683134
0.01599555	0.0118798	-0.005292701	0	0	0	0.0003059402	-0.0003184581	-0.0003683134
0.01599555	0.0118798	-0.005292701	0	0	0	0.0003059402	-0.0003184581	-0.0003683134
0.01599555	0.0118798	-0.005292701	0	0	0	0.0003059402	-0.0003184581	-0.0003683134
0.01599555	0.0118798	-0.005292701	0	0	0	0.0003059402	-0.0003184581	-0.0003683134
0.01599555	0.0118798	-0.005292701	0	0	0	0.0001556421	-0.0008275565	-0.0006218423
0.01599555	0.0118798	-0.005292701	0	0	0	0.0001556421	-0.0008275565	-0.0006218423
0.01599555	0.0118798	-0.005292701	0	0	0	0.0001556421	-0.0008275565	-0.0006218423
0.01599555	0.0118798	-0.005292701	0	0	0	0.0001556421	-0.0008275565	-0.0006218423
0.01599518	0.01187994	-0.005293516	0	0	0	0.0004419837	-0.0005361395	-3.516112E-05
0.01599518	0.01187994	-0.005293516	0	0	0	0.0004419837	-0.0005361395	-3.516112E-05
0.01599518	0.01187994	-0.005293516	0	0	0	0.0004419837	-0.0005361395	-3.516112E-05
0.01599518	0.01187994	-0.005293516	0	0	0	0.0004419837	-0.0005361395	-3.516112E-05
0.01599518	0.01187994	-0.005293516	0	0	0	0.0004419837	-0.0005361395	-3.516112E-05
0.01599518	0.01187994	-0.005293516	0	0	0	0.0004419837	-0.0005361395	-3.516112E-05
0.01599518	0.01187994	-0.005293516	0	0	0	0.0004419837	-0.0005361395	-3.516112E-05
0.01599518	0.01187994	-0.005293516	0	0	0	0.0004419837	-0.0005361395	-3.516112E-05
0.01599518	0.01187994	-0.005293516	0	0	0	0.0004419837	-0.0005361395	-3.516112E-05
0.01599518	0.01187994	-0.005293516	0	0	0	0.0003385034	-0.0005176551	-0.0007782375
0.01599518	0.01187994	-0.005293516	0	0	0	0.0003385034	-0.0005176551	-0.0007782375
0.01599518	0.01187994	-0.005293516	0	0	0	0.0003385034	-0.0005176551	-0.0007782375
0.01599518	0.01187994	-0.005293516	0	0	0	0.0003385034	-0.0005176551	-0.0007782375
0.01599518	0.01187994	-0.005293516	0	0	0	0.0003385034	-0.0005176551	-0.0007782375
0.01599518	0.01187994	-0.005293516	0	0	0	0.0003385034	-0.0005176551	-0.0007782375
0.01599518	0.01187994	-0.005293516	0	0	0	0.0003385034	-0.0005176551	-0.0007782375
0.01599518	0.01187994	-0.005293516	0	0	0	0.0003385034	-0.0005176551	-0.0007782375
0.01599573	0.0118787	-0.005294636	0	0	0	-3.375135E-05	-0.000461236	-0.001118
0.01599573	0.0118787	-0.005294636	0	0	0	-3.375135E-05	-0.000461236	-0.001118
0.01599573	0.0118787	-0.005294636	0	0	0	-3.375135E-05	-0.000461236	-0.001118
0.01599573	0.0118787	-0.005294636	0	0	0	-3.375135E-05	-0.000461236	-0.001118
0.01599573	0.0118787	-0.005294636	0	0	0	-3.375135E-05	-0.000461236	-0.001118
0.01599573	0.0118787	-0.005294636	0	0	0	-3.375135E-05	-0.000461236	-0.001118
0.01599573	0.0118787	-0.005294636	0	0	0	-3.375135E-05	-0.000461236	-0.001118
0.01599573	0.0118787	-0.005294636	0	0	0	0.0004565206	-0.0006190357	-0.0003863537
0.01599573	0.0118787	-0.005294636	0	0	0	0.0004565206	-0.0006190357	-0.0003863537
0.01599573	0.0118787	-0.005294636	0	0	0	0.0004565206	-0.0006190357	-0.0003863537
0.01599573	0.0118787	-0.005294636	0	0	0	0.0004565206	-0.0006190357	-0.0003863537
0.01599573	0.0118787	-0.005294636	0	0	0	0.0004565206	-0.0006190357	-0.0003863537
0.01599592	0.01187815	-0.005295281	0	0	0	0.0001096501	-0.0005807124	-0.0001053889
0.01599592	0.01187815	-0.005295281	0	0	0	0.0001096501	-0.0005807124	-0.0001053889
0.01599592	0.01187815	-0.005295281	0	0	0	0.0001096501	-0.0005807124	-0.0001053889
0.01599592	0.01187815	-0.005295281	0	0	0	0.0001096501	-0.0005807124	-0.0001053889
0.01599592	0.01187815	-0.005295281	0	0	0	0.0001096501	-0.0005807124	-0.0001053889
0.01599592	0.01187815	-0.005295281	0	0	0	0.0001096501	-0.0005807124	-0.0001053889
0.01599592	0.01187815	-0.005295281	0	0	0	0.0001096501	-0.0005807124	-0.0001053889
0.01599592	0.01187815	-0.005295281	0	0	0	0.0001096501	-0.0005807124	-0.0001053889
0.01599592	0.01187815	-0.005295281	0	0	0	0.0001096501	-0.0005807124	-0.0001053889
0.01599592	0.01187815	-0.005295281	0	0	0	0.0001096501	-0.0005807124	-0.0001053889
0.01599592	0.01187815	-0.005295281	0	0	0	0.0001661763	-0.0001638108	-0.0004250096
0.01599592	0.01187815	-0.005295281	0	0	0	0.0001661763	-0.0001638108	-0.0004250096
0.01599592	0.01187815	-0.005295281	0	0	0	0.0001661763	-0.0001638108	-0.0004250096
0.01599592	0.01187815	-0.005295281	0	0	0	0.0001661763	-0.0001638108	-0.0004250096
0.01599592	0.01187815	-0.005295281	0	0	0	0.0001661763	-0.0001638108	-0.0004250096
0.01599592	0.01187815	-0.005295281	0	0	0	0.0001661763	-0.0001638108	-0.0004250096
0.01599592	0.01187815	-0.005295281	0	0	0	0.0001661763	-0.0001638108	-0.0004250096
0.01599592	0.01187815	-0.005295281	0	0	0	0.0001661763	-0.0001638108	-0.0004250096
0.01599592	0.01187815	-0.005295281	0	0	0	0.0001661763	-0.0001638108	-0.0004250096
0.01599648	0.0118774	-0.005295286	0	0	0	0.000151782	-0.0003931126	4.604257E-05
0.01599648	0.0118774	-0.005295286	0	0	0	0.000151782	-0.0003931126	4.604257E-05
0.01599648	0.0118774	-0.005295286	0	0	0	0.000151782	-0.0003931126	4.604257E-05
0.01599648	0.0118774	-0.005295286	0	0	0	0.000151782	-0.0003931126	4.604257E-05
0.01599648	0.0118774	-0.005295286	0	0	0	0.000151782	-0.0003931126	4.604257E-05
0.01599648	0.0118774	-0.005295286	0	0	0	0.000151782	-0.0003931126	4.604257E-05
0.01599648	0.0118774	-0.005295286	0	0	0	0.000151782	-0.0003931126	4.604257E-05
0.01599648	0.0118774	-0.005295286	0	0	0	0.000151782	-0.0003931126	4.604257E-05
0.01599648	0.0118774	-0.005295286	0	0	0	0.000151782	-0.0003931126	4.604257E-05
0.01599648	0.0118774	-0.005295286	0	0	0	-4.819169E-06	-0.0006075613	-0.0004501884
0.01599648	0.0118774	-0.005295286	0	0	0	-4.819169E-06	-0.0006075613	-0.0004501884
0.01599648	0.0118774	-0.005295286	0	0	0	-4.819169E-06	-0.0006075613	-0.0004501884
0.01599648	0.0118774	-0.005295286	0	0	0	-4.819169E-06	-0.0006075613	-0.0004501884
0.01599648	0.0118774	-0.005295286	0	0	0	-4.819169E-06	-0.0006075613	-0.0004501884
0.01599648	0.0118774	-0.005295286	0	0	0	-4.819169E-06	-0.0006075613	-0.0004501884
0.01599648	0.0118774	-0.005295286	0	0	0	-4.819169E-06	-0.0006075613	-0.0004501884
0.01599648	0.0118774	-0.005295286	0	0	0	-4.819169E-06	-0.0006075613	-0.0004501884
0.01599648	0.0118774	-0.005295286	0	0	0	-4.819169E-06	-0.0006075613	-0.0004501884
0.01599686	0.01187685	-0.005295375	0	0	0	0.0002651847	-0.000399064	-0.001063503
0.01599686	0.01187685	-0.005295375	0	0	0	0.0002651847	-0.000399064	-0.001063503
0.01599686	0.01187685	-0.005295375	0	0	0	0.0002651847	-0.000399064	-0.001063503
0.01599686	0.01187685	-0.005295375	0	0	0	0.0002651847	-0.000399064	-0.001063503
0.01599686	0.01187685	-0.005295375	0	0	0	0.0002651847	-0.000399064	-0.001063503
0.01599686	0.01187685	-0.005295375	0	0	0	0.0002651847	-0.000399064	-0.001063503
0.01599686	0.01187685	-0.005295375	0	0	0	0.0002651847	-0.000399064	-0.001063503
0.01599686	0.01187685	-0.005295375	0	0	0	0.0002651847	-0.000399064	-0.001063503
0.01599686	0.01187685	-0.005295375	0	0	0	0.0002651847	-0.000399064	-0.001063503
0.01599686	0.01187685	-0.005295375	0	0	0	0.0002651847	-0.000399064	-0.001063503
0.01599686	0.01187685	-0.005295375	0	0	0	0.0002585936	-0.0003699994	-0.0007529157
0.01599686	0.01187685	-0.005295375	0	0	0	0.0002585936	-0.0003699994	-0.0007529157
0.01599686	0.01187685	-0.005295375	0	0	0	0.0002585936	-0.0003699994	-0.0007529157
0.01599686	0.01187685	-0.005295375	0	0	0	0.0002585936	-0.0003699994	-0.0007529157
