CaptureTime;HeadsetPos;HeadsetRotation;CombinedGazeForward;FocusDistance;FocusStability;CalcXEccentricity;CalcYEccentricity;LeftForward;RightForward;LeftPosition;RightPosition
1684798262722;(0.000000, 0.000000, 0.000000);(1.467135, 1.086358, 2.068275);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684798262822;(0.000000, 0.000000, 0.000000);(1.467135, 1.086358, 2.068275);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684798262922;(0.000000, 0.000000, 0.000000);(1.467135, 1.086358, 2.068275);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684798263022;(0.000000, 0.000000, 0.000000);(1.467135, 1.086358, 2.068275);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684798263122;(0.000000, 0.000000, 0.000000);(1.467135, 1.086358, 2.068275);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684798263222;(0.000000, 0.000000, 0.000000);(1.468080, 1.026004, 2.027431);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684798263322;(0.000000, 0.000000, 0.000000);(1.468336, 0.952346, 2.000921);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684798263422;(0.000000, 0.000000, 0.000000);(1.457918, 1.008278, 2.081937);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684798263522;(0.000000, 0.000000, 0.000000);(1.443754, 1.028838, 2.134166);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684798263622;(0.000000, 0.000000, 0.000000);(1.443118, 0.988231, 2.129935);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684798263722;(0.000000, 0.000000, 0.000000);(1.444538, 0.937665, 2.114338);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684798263822;(0.000000, 0.000000, 0.000000);(1.447385, 0.946926, 2.149825);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684798263922;(0.000000, 0.000000, 0.000000);(1.460436, 0.884609, 2.123219);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684798264022;(0.000000, 0.000000, 0.000000);(1.462495, 0.843438, 2.126852);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684798264122;(0.000000, 0.000000, 0.000000);(1.457757, 0.803011, 2.113847);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
1684798264222;(0.000000, 0.000000, 0.000000);(1.470973, 0.741140, 2.065497);(0.000000, 0.000000, 0.000000);0;0;NaN;NaN;;;;
